,notification_date,TY,SType
176,2020-09-04,7,All
177,2020-09-05,8,All
178,2020-09-06,4,All
179,2020-09-07,9,All
180,2020-09-08,5,All
181,2020-09-09,10,All
182,2020-09-10,6,All
183,2020-09-11,8,All
184,2020-09-12,3,All
185,2020-09-13,4,All
186,2020-09-14,3,All
187,2020-09-15,3,All
188,2020-09-16,4,All
189,2020-09-17,2,All
190,2020-09-18,2,All
191,2020-09-19,1,All
192,2020-09-20,1,All
193,2020-09-22,5,All
194,2020-09-23,2,All
195,2020-09-24,1,All
196,2020-09-25,1,All
197,2020-09-28,3,All
198,2020-09-29,2,All
199,2020-09-30,3,All
200,2020-10-01,2,All
201,2020-10-03,1,All
202,2020-10-04,2,All
203,2020-10-05,3,All
204,2020-10-06,1,All
205,2020-10-07,15,All
206,2020-10-08,5,All
207,2020-10-09,4,All
208,2020-10-10,6,All
209,2020-10-11,3,All
210,2020-10-12,10,All
211,2020-10-13,12,All
212,2020-10-14,8,All
213,2020-10-15,2,All
214,2020-10-16,6,All
215,2020-10-17,4,All
216,2020-10-18,5,All
217,2020-10-19,9,All
218,2020-10-20,3,All
219,2020-10-21,4,All
220,2020-10-22,2,All
221,2020-10-23,4,All
222,2020-10-24,4,All
223,2020-10-25,2,All
224,2020-10-26,13,All
225,2020-10-27,2,All
226,2020-10-28,4,All
227,2020-10-29,7,All
228,2020-10-30,2,All
229,2020-10-31,4,All
230,2020-11-01,4,All
231,2020-11-02,4,All
232,2020-11-03,6,All
233,2020-11-04,1,All
234,2020-11-05,8,All
235,2020-11-06,4,All
236,2020-11-07,2,All
237,2020-11-08,4,All
238,2020-11-09,3,All
239,2020-11-11,1,All
240,2020-11-13,4,All
241,2020-11-14,5,All
242,2020-11-15,1,All
243,2020-11-16,2,All
244,2020-11-17,1,All
245,2020-11-18,3,All
246,2020-11-19,1,All
247,2020-11-20,2,All
248,2020-11-21,4,All
249,2020-11-22,3,All
250,2020-11-23,1,All
251,2020-11-24,2,All
252,2020-11-26,1,All
253,2020-11-27,6,All
254,2020-11-28,2,All
255,2020-11-29,5,All
256,2020-11-30,7,All
257,2020-12-01,5,All
258,2020-12-02,6,All
259,2020-12-03,3,All
260,2020-12-04,2,All
261,2020-12-05,3,All
262,2020-12-06,4,All
263,2020-12-07,2,All
264,2020-12-08,1,All
265,2020-12-09,5,All
266,2020-12-10,4,All
267,2020-12-11,2,All
268,2020-12-12,3,All
269,2020-12-13,4,All
270,2020-12-14,4,All
271,2020-12-15,2,All
272,2020-12-16,8,All
273,2020-12-17,24,All
274,2020-12-18,24,All
275,2020-12-19,29,All
276,2020-12-20,23,All
277,2020-12-21,10,All
278,2020-12-22,13,All
279,2020-12-23,15,All
280,2020-12-24,10,All
281,2020-12-25,9,All
282,2020-12-26,12,All
283,2020-12-27,7,All
284,2020-12-28,7,All
285,2020-12-29,27,All
286,2020-12-30,7,All
287,2020-12-31,10,All
288,2021-01-01,14,All
289,2021-01-02,6,All
290,2021-01-03,8,All
291,2021-01-04,4,All
292,2021-01-05,3,All
293,2021-01-06,8,All
294,2021-01-07,4,All
295,2021-01-08,9,All
296,2021-01-09,4,All
297,2021-01-10,8,All
298,2021-01-11,9,All
299,2021-01-12,3,All
300,2021-01-14,1,All
301,2021-01-15,8,All
302,2021-01-16,12,All
303,2021-01-18,1,All
304,2021-01-19,2,All
305,2021-01-20,3,All
306,2021-01-23,1,All
307,2021-01-25,3,All
308,2021-01-27,3,All
309,2021-01-29,2,All
310,2021-01-30,1,All
311,2021-01-31,3,All
312,2021-02-03,1,All
313,2021-02-05,2,All
314,2021-02-07,4,All
315,2021-02-08,3,All
316,2021-02-09,1,All
317,2021-02-10,1,All
318,2021-02-15,1,All
319,2021-02-16,1,All
320,2021-02-18,1,All
321,2021-02-20,2,All
322,2021-02-21,1,All
323,2021-02-22,3,All
324,2021-02-23,3,All
325,2021-02-24,3,All
326,2021-02-25,4,All
327,2021-02-26,3,All
328,2021-02-27,2,All
329,2021-02-28,3,All
330,2021-03-01,1,All
331,2021-03-02,4,All
332,2021-03-03,1,All
333,2021-03-04,9,All
334,2021-03-05,2,All
335,2021-03-06,1,All
336,2021-03-08,3,All
337,2021-03-09,4,All
338,2021-03-10,3,All
339,2021-03-11,4,All
340,2021-03-13,2,All
341,2021-03-14,1,All
342,2021-03-16,3,All
343,2021-03-17,5,All
344,2021-03-19,2,All
345,2021-03-20,1,All
346,2021-03-21,3,All
347,2021-03-23,4,All
348,2021-03-24,1,All
349,2021-03-25,2,All
350,2021-03-26,1,All
351,2021-03-28,2,All
352,2021-03-29,1,All
353,2021-03-30,5,All
354,2021-03-31,2,All
355,2021-04-02,2,All
356,2021-04-03,1,All
357,2021-04-04,3,All
358,2021-04-05,5,All
359,2021-04-08,1,All
360,2021-04-09,2,All
361,2021-04-10,5,All
362,2021-04-11,2,All
363,2021-04-12,3,All
364,2021-04-13,2,All
365,2021-04-14,2,All
366,2021-04-15,1,All
367,2021-04-16,6,All
368,2021-04-17,4,All
369,2021-04-18,7,All
370,2021-04-19,4,All
371,2021-04-20,3,All
372,2021-04-21,5,All
373,2021-04-22,2,All
374,2021-04-24,4,All
375,2021-04-25,3,All
376,2021-04-26,3,All
377,2021-04-27,2,All
378,2021-04-28,9,All
379,2021-04-29,1,All
380,2021-04-30,2,All
381,2021-05-01,2,All
382,2021-05-02,5,All
383,2021-05-03,7,All
384,2021-05-04,4,All
385,2021-05-05,8,All
386,2021-05-06,2,All
387,2021-05-07,4,All
388,2021-05-08,4,All
389,2021-05-09,5,All
390,2021-05-10,2,All
391,2021-05-11,1,All
392,2021-05-12,5,All
393,2021-05-13,2,All
394,2021-05-14,1,All
395,2021-05-15,2,All
396,2021-05-16,2,All
397,2021-05-17,3,All
398,2021-05-18,1,All
399,2021-05-19,1,All
400,2021-05-21,3,All
401,2021-05-23,1,All
402,2021-05-25,1,All
403,2021-05-27,3,All
404,2021-05-28,1,All
405,2021-05-29,1,All
406,2021-06-02,2,All
407,2021-06-04,2,All
408,2021-06-05,1,All
409,2021-06-06,4,All
410,2021-06-07,6,All
411,2021-06-08,1,All
412,2021-06-09,2,All
413,2021-06-10,1,All
414,2021-06-13,2,All
415,2021-06-14,3,All
416,2021-06-15,1,All
417,2021-06-16,3,All
418,2021-06-17,1,All
419,2021-06-18,5,All
420,2021-06-19,4,All
421,2021-06-20,2,All
422,2021-06-21,5,All
423,2021-06-22,17,All
424,2021-06-23,12,All
425,2021-06-24,22,All
426,2021-06-25,28,All
427,2021-06-26,25,All
428,2021-06-27,23,All
429,2021-06-28,15,All
430,2021-06-29,27,All
431,2021-06-30,30,All
432,2021-07-01,30,All
433,2021-07-02,36,All
434,2021-07-03,22,All
435,2021-07-04,31,All
436,2021-07-05,16,All
437,2021-07-06,33,All
438,2021-07-07,37,All
439,2021-07-08,45,All
440,2021-07-09,50,All
441,2021-07-10,105,All
442,2021-07-11,121,All
443,2021-07-12,73,All
444,2021-07-13,90,All
445,2021-07-14,75,All
446,2021-07-15,102,All
447,2021-07-16,112,All
448,2021-07-17,98,All
449,2021-07-18,111,All
450,2021-07-19,65,All
451,2021-07-20,107,All
452,2021-07-21,143,All
453,2021-07-22,142,All
454,2021-07-23,151,All
455,2021-07-24,141,All
456,2021-07-25,172,All
457,2021-07-26,141,All
458,2021-07-27,165,All
459,2021-07-28,261,All
460,2021-07-29,188,All
461,2021-07-30,199,All
462,2021-07-31,190,All
0,2020-01-25,1,Burwood
1,2020-03-17,1,Burwood
2,2020-03-23,1,Burwood
3,2020-03-26,1,Burwood
4,2020-03-29,1,Burwood
5,2020-03-30,1,Burwood
6,2020-04-02,1,Burwood
7,2020-04-08,1,Burwood
8,2020-08-27,1,Burwood
9,2020-09-06,1,Burwood
10,2020-09-07,2,Burwood
11,2020-09-10,1,Burwood
12,2020-10-23,1,Burwood
13,2020-12-25,1,Burwood
14,2020-12-28,1,Burwood
15,2020-12-29,3,Burwood
16,2021-04-12,1,Burwood
17,2021-07-01,2,Burwood
18,2021-07-06,2,Burwood
19,2021-07-07,2,Burwood
20,2021-07-11,1,Burwood
21,2021-07-21,4,Burwood
22,2021-07-23,1,Burwood
23,2021-07-25,2,Burwood
0,2020-01-25,1,Parramatta
1,2020-03-06,2,Parramatta
2,2020-03-08,3,Parramatta
3,2020-03-09,3,Parramatta
4,2020-03-12,1,Parramatta
5,2020-03-14,1,Parramatta
6,2020-03-15,3,Parramatta
7,2020-03-16,1,Parramatta
8,2020-03-17,1,Parramatta
9,2020-03-19,1,Parramatta
10,2020-03-20,1,Parramatta
11,2020-03-21,1,Parramatta
12,2020-03-22,2,Parramatta
13,2020-03-23,3,Parramatta
14,2020-03-25,3,Parramatta
15,2020-03-26,1,Parramatta
16,2020-03-27,1,Parramatta
17,2020-03-28,1,Parramatta
18,2020-03-29,2,Parramatta
19,2020-03-31,4,Parramatta
20,2020-04-01,3,Parramatta
21,2020-04-02,1,Parramatta
22,2020-04-03,3,Parramatta
23,2020-04-06,1,Parramatta
24,2020-04-07,1,Parramatta
25,2020-05-06,1,Parramatta
26,2020-05-13,1,Parramatta
27,2020-06-03,1,Parramatta
28,2020-06-27,1,Parramatta
29,2020-06-30,2,Parramatta
30,2020-07-06,1,Parramatta
31,2020-07-13,1,Parramatta
32,2020-07-15,1,Parramatta
33,2020-07-19,1,Parramatta
34,2020-07-20,1,Parramatta
35,2020-07-23,2,Parramatta
36,2020-07-24,1,Parramatta
37,2020-07-25,3,Parramatta
38,2020-07-27,4,Parramatta
39,2020-07-30,4,Parramatta
40,2020-08-01,2,Parramatta
41,2020-08-05,2,Parramatta
42,2020-08-06,1,Parramatta
43,2020-08-09,1,Parramatta
44,2020-08-10,2,Parramatta
45,2020-08-28,1,Parramatta
46,2020-09-09,1,Parramatta
47,2020-09-11,1,Parramatta
48,2020-09-17,1,Parramatta
49,2020-10-07,4,Parramatta
50,2020-10-11,1,Parramatta
51,2020-10-12,1,Parramatta
52,2020-10-13,1,Parramatta
53,2020-10-21,1,Parramatta
54,2020-10-22,1,Parramatta
55,2020-10-23,1,Parramatta
56,2020-10-26,1,Parramatta
57,2020-11-09,1,Parramatta
58,2020-11-13,1,Parramatta
59,2020-11-29,1,Parramatta
60,2020-12-02,1,Parramatta
61,2020-12-06,2,Parramatta
62,2020-12-07,1,Parramatta
63,2020-12-23,1,Parramatta
64,2021-01-03,1,Parramatta
65,2021-02-03,1,Parramatta
66,2021-02-05,1,Parramatta
67,2021-02-24,1,Parramatta
68,2021-03-01,1,Parramatta
69,2021-03-09,2,Parramatta
70,2021-03-21,1,Parramatta
71,2021-03-28,1,Parramatta
72,2021-04-13,1,Parramatta
73,2021-04-18,1,Parramatta
74,2021-04-22,2,Parramatta
75,2021-04-25,1,Parramatta
76,2021-04-28,1,Parramatta
77,2021-04-29,1,Parramatta
78,2021-05-02,2,Parramatta
79,2021-05-05,2,Parramatta
80,2021-05-06,1,Parramatta
81,2021-05-07,1,Parramatta
82,2021-06-07,1,Parramatta
83,2021-06-29,1,Parramatta
84,2021-06-30,2,Parramatta
85,2021-07-01,3,Parramatta
86,2021-07-05,2,Parramatta
87,2021-07-07,1,Parramatta
88,2021-07-08,4,Parramatta
89,2021-07-11,3,Parramatta
90,2021-07-12,1,Parramatta
91,2021-07-15,2,Parramatta
92,2021-07-16,1,Parramatta
93,2021-07-18,1,Parramatta
94,2021-07-19,3,Parramatta
95,2021-07-20,6,Parramatta
96,2021-07-21,4,Parramatta
97,2021-07-22,10,Parramatta
98,2021-07-23,2,Parramatta
99,2021-07-24,3,Parramatta
100,2021-07-25,10,Parramatta
101,2021-07-26,9,Parramatta
102,2021-07-27,2,Parramatta
103,2021-07-28,9,Parramatta
104,2021-07-29,6,Parramatta
105,2021-07-30,11,Parramatta
106,2021-07-31,2,Parramatta
0,2020-01-25,1,Ku-ring-gai
1,2020-03-02,1,Ku-ring-gai
2,2020-03-10,1,Ku-ring-gai
3,2020-03-16,2,Ku-ring-gai
4,2020-03-17,3,Ku-ring-gai
5,2020-03-19,3,Ku-ring-gai
6,2020-03-20,1,Ku-ring-gai
7,2020-03-21,5,Ku-ring-gai
8,2020-03-22,2,Ku-ring-gai
9,2020-03-23,2,Ku-ring-gai
10,2020-03-24,5,Ku-ring-gai
11,2020-03-25,3,Ku-ring-gai
12,2020-03-26,2,Ku-ring-gai
13,2020-03-27,8,Ku-ring-gai
14,2020-03-28,3,Ku-ring-gai
15,2020-03-30,1,Ku-ring-gai
16,2020-03-31,6,Ku-ring-gai
17,2020-04-01,2,Ku-ring-gai
18,2020-04-02,4,Ku-ring-gai
19,2020-04-03,4,Ku-ring-gai
20,2020-04-05,1,Ku-ring-gai
21,2020-04-07,3,Ku-ring-gai
22,2020-04-08,2,Ku-ring-gai
23,2020-04-09,2,Ku-ring-gai
24,2020-04-10,2,Ku-ring-gai
25,2020-05-01,1,Ku-ring-gai
26,2020-05-18,1,Ku-ring-gai
27,2020-05-20,1,Ku-ring-gai
28,2020-06-26,1,Ku-ring-gai
29,2020-07-09,1,Ku-ring-gai
30,2020-08-10,1,Ku-ring-gai
31,2020-08-26,2,Ku-ring-gai
32,2020-08-27,1,Ku-ring-gai
33,2020-08-28,2,Ku-ring-gai
34,2020-08-29,1,Ku-ring-gai
35,2020-08-30,1,Ku-ring-gai
36,2020-09-01,2,Ku-ring-gai
37,2020-09-04,2,Ku-ring-gai
38,2020-09-08,1,Ku-ring-gai
39,2020-10-12,1,Ku-ring-gai
40,2020-10-13,1,Ku-ring-gai
41,2020-12-11,1,Ku-ring-gai
42,2020-12-19,1,Ku-ring-gai
43,2020-12-20,2,Ku-ring-gai
44,2021-01-02,1,Ku-ring-gai
45,2021-01-03,1,Ku-ring-gai
46,2021-03-02,2,Ku-ring-gai
47,2021-04-18,1,Ku-ring-gai
48,2021-04-25,1,Ku-ring-gai
49,2021-04-28,1,Ku-ring-gai
50,2021-05-12,3,Ku-ring-gai
51,2021-06-02,2,Ku-ring-gai
52,2021-06-05,1,Ku-ring-gai
53,2021-06-21,1,Ku-ring-gai
54,2021-07-23,1,Ku-ring-gai
0,2020-01-27,1,Randwick
1,2020-03-14,1,Randwick
2,2020-03-15,1,Randwick
3,2020-03-16,3,Randwick
4,2020-03-17,1,Randwick
5,2020-03-19,4,Randwick
6,2020-03-20,1,Randwick
7,2020-03-21,2,Randwick
8,2020-03-23,5,Randwick
9,2020-03-24,7,Randwick
10,2020-03-25,5,Randwick
11,2020-03-26,5,Randwick
12,2020-03-27,6,Randwick
13,2020-03-28,1,Randwick
14,2020-03-29,1,Randwick
15,2020-03-31,3,Randwick
16,2020-04-01,5,Randwick
17,2020-04-02,3,Randwick
18,2020-04-03,6,Randwick
19,2020-04-04,4,Randwick
20,2020-04-05,2,Randwick
21,2020-04-06,2,Randwick
22,2020-04-07,3,Randwick
23,2020-04-08,1,Randwick
24,2020-04-09,3,Randwick
25,2020-04-10,3,Randwick
26,2020-04-11,1,Randwick
27,2020-04-13,1,Randwick
28,2020-04-15,1,Randwick
29,2020-04-18,1,Randwick
30,2020-04-30,1,Randwick
31,2020-05-05,1,Randwick
32,2020-06-18,1,Randwick
33,2020-07-27,1,Randwick
34,2020-07-28,1,Randwick
35,2020-08-25,1,Randwick
36,2020-08-26,1,Randwick
37,2020-08-27,1,Randwick
38,2020-08-28,1,Randwick
39,2020-09-01,1,Randwick
40,2020-09-02,1,Randwick
41,2020-09-03,1,Randwick
42,2020-09-07,1,Randwick
43,2020-09-10,1,Randwick
44,2020-09-13,1,Randwick
45,2020-09-22,1,Randwick
46,2020-10-04,1,Randwick
47,2020-10-05,3,Randwick
48,2020-10-07,1,Randwick
49,2020-10-10,1,Randwick
50,2020-10-15,1,Randwick
51,2020-10-17,1,Randwick
52,2020-10-27,1,Randwick
53,2020-11-28,1,Randwick
54,2020-11-30,1,Randwick
55,2020-12-02,1,Randwick
56,2020-12-08,1,Randwick
57,2020-12-16,2,Randwick
58,2020-12-22,1,Randwick
59,2021-01-27,1,Randwick
60,2021-02-22,1,Randwick
61,2021-03-17,1,Randwick
62,2021-04-10,1,Randwick
63,2021-06-19,1,Randwick
64,2021-06-23,1,Randwick
65,2021-06-24,3,Randwick
66,2021-06-25,6,Randwick
67,2021-06-26,1,Randwick
68,2021-06-27,3,Randwick
69,2021-06-28,2,Randwick
70,2021-06-29,5,Randwick
71,2021-06-30,4,Randwick
72,2021-07-01,1,Randwick
73,2021-07-02,5,Randwick
74,2021-07-04,7,Randwick
75,2021-07-05,2,Randwick
76,2021-07-06,4,Randwick
77,2021-07-07,2,Randwick
78,2021-07-08,3,Randwick
79,2021-07-09,2,Randwick
80,2021-07-10,3,Randwick
81,2021-07-13,1,Randwick
82,2021-07-15,5,Randwick
83,2021-07-16,1,Randwick
84,2021-07-17,2,Randwick
85,2021-07-18,1,Randwick
86,2021-07-20,3,Randwick
87,2021-07-22,1,Randwick
88,2021-07-25,1,Randwick
89,2021-07-26,2,Randwick
90,2021-07-27,1,Randwick
91,2021-07-29,2,Randwick
92,2021-07-30,1,Randwick
0,2020-03-01,1,Hornsby
1,2020-03-02,1,Hornsby
2,2020-03-05,1,Hornsby
3,2020-03-06,2,Hornsby
4,2020-03-08,1,Hornsby
5,2020-03-11,3,Hornsby
6,2020-03-12,1,Hornsby
7,2020-03-15,1,Hornsby
8,2020-03-16,1,Hornsby
9,2020-03-18,1,Hornsby
10,2020-03-19,1,Hornsby
11,2020-03-20,3,Hornsby
12,2020-03-21,2,Hornsby
13,2020-03-23,3,Hornsby
14,2020-03-24,7,Hornsby
15,2020-03-25,3,Hornsby
16,2020-03-26,2,Hornsby
17,2020-03-27,7,Hornsby
18,2020-03-28,1,Hornsby
19,2020-03-30,1,Hornsby
20,2020-03-31,1,Hornsby
21,2020-04-03,1,Hornsby
22,2020-04-05,1,Hornsby
23,2020-04-07,1,Hornsby
24,2020-04-08,2,Hornsby
25,2020-04-14,1,Hornsby
26,2020-04-18,1,Hornsby
27,2020-04-19,1,Hornsby
28,2020-04-21,2,Hornsby
29,2020-04-24,2,Hornsby
30,2020-04-27,1,Hornsby
31,2020-04-30,1,Hornsby
32,2020-06-30,1,Hornsby
33,2020-08-08,3,Hornsby
34,2020-08-10,2,Hornsby
35,2020-08-13,1,Hornsby
36,2020-08-20,1,Hornsby
37,2020-08-30,1,Hornsby
38,2020-08-31,1,Hornsby
39,2020-09-08,1,Hornsby
40,2020-11-04,1,Hornsby
41,2020-11-06,1,Hornsby
42,2020-11-14,1,Hornsby
43,2020-11-24,1,Hornsby
44,2020-12-03,1,Hornsby
45,2020-12-19,2,Hornsby
46,2020-12-20,1,Hornsby
47,2021-01-01,1,Hornsby
48,2021-01-19,1,Hornsby
49,2021-01-23,1,Hornsby
50,2021-02-25,1,Hornsby
51,2021-03-10,1,Hornsby
52,2021-07-04,3,Hornsby
53,2021-07-17,1,Hornsby
54,2021-07-26,2,Hornsby
0,2020-03-01,1,Fairfield
1,2020-03-07,1,Fairfield
2,2020-03-15,1,Fairfield
3,2020-03-24,2,Fairfield
4,2020-03-25,1,Fairfield
5,2020-03-26,3,Fairfield
6,2020-03-28,1,Fairfield
7,2020-03-30,1,Fairfield
8,2020-03-31,1,Fairfield
9,2020-04-01,2,Fairfield
10,2020-04-02,1,Fairfield
11,2020-04-03,3,Fairfield
12,2020-04-04,1,Fairfield
13,2020-04-05,3,Fairfield
14,2020-04-07,1,Fairfield
15,2020-04-08,1,Fairfield
16,2020-04-09,2,Fairfield
17,2020-04-10,2,Fairfield
18,2020-04-14,1,Fairfield
19,2020-04-22,1,Fairfield
20,2020-04-23,1,Fairfield
21,2020-05-04,1,Fairfield
22,2020-05-05,1,Fairfield
23,2020-05-07,1,Fairfield
24,2020-05-25,1,Fairfield
25,2020-06-03,1,Fairfield
26,2020-06-07,2,Fairfield
27,2020-06-12,1,Fairfield
28,2020-06-14,1,Fairfield
29,2020-07-04,1,Fairfield
30,2020-07-12,1,Fairfield
31,2020-07-13,1,Fairfield
32,2020-07-16,1,Fairfield
33,2020-07-18,3,Fairfield
34,2020-07-19,3,Fairfield
35,2020-07-20,3,Fairfield
36,2020-07-21,5,Fairfield
37,2020-07-22,2,Fairfield
38,2020-07-23,2,Fairfield
39,2020-07-24,5,Fairfield
40,2020-07-26,1,Fairfield
41,2020-07-27,1,Fairfield
42,2020-07-28,3,Fairfield
43,2020-07-29,3,Fairfield
44,2020-07-31,6,Fairfield
45,2020-08-01,1,Fairfield
46,2020-08-02,1,Fairfield
47,2020-08-03,3,Fairfield
48,2020-08-04,4,Fairfield
49,2020-08-05,3,Fairfield
50,2020-08-06,2,Fairfield
51,2020-08-07,5,Fairfield
52,2020-08-08,4,Fairfield
53,2020-08-10,3,Fairfield
54,2020-08-11,4,Fairfield
55,2020-08-12,2,Fairfield
56,2020-08-13,4,Fairfield
57,2020-08-14,3,Fairfield
58,2020-08-15,1,Fairfield
59,2020-08-18,3,Fairfield
60,2020-08-20,2,Fairfield
61,2020-08-21,1,Fairfield
62,2020-08-24,1,Fairfield
63,2020-08-26,2,Fairfield
64,2020-08-27,3,Fairfield
65,2020-08-30,1,Fairfield
66,2020-09-16,1,Fairfield
67,2020-09-28,1,Fairfield
68,2020-10-26,1,Fairfield
69,2020-10-30,1,Fairfield
70,2020-11-02,1,Fairfield
71,2020-11-03,2,Fairfield
72,2020-12-13,1,Fairfield
73,2020-12-22,1,Fairfield
74,2021-02-05,1,Fairfield
75,2021-03-19,2,Fairfield
76,2021-05-03,1,Fairfield
77,2021-06-06,1,Fairfield
78,2021-06-26,2,Fairfield
79,2021-06-27,1,Fairfield
80,2021-06-30,1,Fairfield
81,2021-07-01,3,Fairfield
82,2021-07-02,4,Fairfield
83,2021-07-03,3,Fairfield
84,2021-07-04,1,Fairfield
85,2021-07-05,2,Fairfield
86,2021-07-06,11,Fairfield
87,2021-07-07,10,Fairfield
88,2021-07-08,9,Fairfield
89,2021-07-09,19,Fairfield
90,2021-07-10,59,Fairfield
91,2021-07-11,74,Fairfield
92,2021-07-12,38,Fairfield
93,2021-07-13,48,Fairfield
94,2021-07-14,41,Fairfield
95,2021-07-15,56,Fairfield
96,2021-07-16,60,Fairfield
97,2021-07-17,63,Fairfield
98,2021-07-18,50,Fairfield
99,2021-07-19,27,Fairfield
100,2021-07-20,33,Fairfield
101,2021-07-21,40,Fairfield
102,2021-07-22,29,Fairfield
103,2021-07-23,37,Fairfield
104,2021-07-24,33,Fairfield
105,2021-07-25,17,Fairfield
106,2021-07-26,26,Fairfield
107,2021-07-27,39,Fairfield
108,2021-07-28,50,Fairfield
109,2021-07-29,21,Fairfield
110,2021-07-30,22,Fairfield
111,2021-07-31,39,Fairfield
0,2020-03-02,1,Bayside
1,2020-03-11,3,Bayside
2,2020-03-13,1,Bayside
3,2020-03-16,1,Bayside
4,2020-03-17,2,Bayside
5,2020-03-20,1,Bayside
6,2020-03-22,2,Bayside
7,2020-03-23,2,Bayside
8,2020-03-24,2,Bayside
9,2020-03-25,3,Bayside
10,2020-03-27,3,Bayside
11,2020-03-28,3,Bayside
12,2020-03-29,7,Bayside
13,2020-03-30,3,Bayside
14,2020-03-31,5,Bayside
15,2020-04-01,1,Bayside
16,2020-04-02,1,Bayside
