,notification_date,TY,SType
251,11/24/2020,2,All
252,11/26/2020,1,All
253,11/27/2020,6,All
254,11/28/2020,2,All
255,11/29/2020,5,All
256,11/30/2020,7,All
257,12/1/2020,5,All
258,12/2/2020,6,All
259,12/3/2020,3,All
260,12/4/2020,2,All
261,12/5/2020,3,All
262,12/6/2020,5,All
263,12/7/2020,2,All
264,12/8/2020,1,All
265,12/9/2020,6,All
266,12/10/2020,4,All
267,12/11/2020,2,All
268,12/12/2020,3,All
269,12/13/2020,4,All
270,12/14/2020,4,All
271,12/15/2020,2,All
272,12/16/2020,8,All
273,12/17/2020,24,All
274,12/18/2020,24,All
275,12/19/2020,29,All
276,12/20/2020,23,All
277,12/21/2020,10,All
278,12/22/2020,13,All
279,12/23/2020,15,All
280,12/24/2020,10,All
281,12/25/2020,9,All
282,12/26/2020,12,All
283,12/27/2020,7,All
284,12/28/2020,7,All
285,12/29/2020,27,All
286,12/30/2020,7,All
287,12/31/2020,10,All
288,1/1/2021,14,All
289,1/2/2021,6,All
290,1/3/2021,8,All
291,1/4/2021,4,All
292,1/5/2021,3,All
293,1/6/2021,8,All
294,1/7/2021,4,All
295,1/8/2021,9,All
296,1/9/2021,4,All
297,1/10/2021,8,All
298,1/11/2021,9,All
299,1/12/2021,3,All
300,1/14/2021,1,All
301,1/15/2021,8,All
302,1/16/2021,12,All
303,1/18/2021,1,All
304,1/19/2021,2,All
305,1/20/2021,3,All
306,1/23/2021,1,All
307,1/25/2021,3,All
308,1/27/2021,3,All
309,1/29/2021,2,All
310,1/30/2021,1,All
311,1/31/2021,3,All
312,2/3/2021,1,All
313,2/5/2021,2,All
314,2/7/2021,4,All
315,2/8/2021,3,All
316,2/9/2021,1,All
317,2/10/2021,1,All
318,2/15/2021,1,All
319,2/16/2021,1,All
320,2/18/2021,1,All
321,2/20/2021,2,All
322,2/21/2021,1,All
323,2/22/2021,3,All
324,2/23/2021,3,All
325,2/24/2021,3,All
326,2/25/2021,4,All
327,2/26/2021,3,All
328,2/27/2021,2,All
329,2/28/2021,3,All
330,3/1/2021,1,All
331,3/2/2021,4,All
332,3/3/2021,1,All
333,3/4/2021,9,All
334,3/5/2021,2,All
335,3/6/2021,1,All
336,3/8/2021,3,All
337,3/9/2021,4,All
338,3/10/2021,3,All
339,3/11/2021,4,All
340,3/13/2021,2,All
341,3/14/2021,1,All
342,3/16/2021,3,All
343,3/17/2021,5,All
344,3/19/2021,2,All
345,3/20/2021,1,All
346,3/21/2021,3,All
347,3/23/2021,4,All
348,3/24/2021,1,All
349,3/25/2021,2,All
350,3/26/2021,1,All
351,3/28/2021,2,All
352,3/29/2021,1,All
353,3/30/2021,5,All
354,3/31/2021,2,All
355,4/2/2021,2,All
356,4/3/2021,1,All
357,4/4/2021,3,All
358,4/5/2021,5,All
359,4/8/2021,1,All
360,4/9/2021,2,All
361,4/10/2021,5,All
362,4/11/2021,2,All
363,4/12/2021,3,All
364,4/13/2021,2,All
365,4/14/2021,2,All
366,4/15/2021,1,All
367,4/16/2021,6,All
368,4/17/2021,4,All
369,4/18/2021,7,All
370,4/19/2021,4,All
371,4/20/2021,3,All
372,4/21/2021,5,All
373,4/22/2021,2,All
374,4/24/2021,4,All
375,4/25/2021,3,All
376,4/26/2021,3,All
377,4/27/2021,2,All
378,4/28/2021,9,All
379,4/29/2021,1,All
380,4/30/2021,2,All
381,5/1/2021,2,All
382,5/2/2021,5,All
383,5/3/2021,7,All
384,5/4/2021,4,All
385,5/5/2021,8,All
386,5/6/2021,2,All
387,5/7/2021,4,All
388,5/8/2021,4,All
389,5/9/2021,5,All
390,5/10/2021,2,All
391,5/11/2021,1,All
392,5/12/2021,5,All
393,5/13/2021,2,All
394,5/14/2021,1,All
395,5/15/2021,2,All
396,5/16/2021,2,All
397,5/17/2021,3,All
398,5/18/2021,1,All
399,5/19/2021,1,All
400,5/21/2021,3,All
401,5/23/2021,1,All
402,5/25/2021,1,All
403,5/27/2021,3,All
404,5/28/2021,1,All
405,5/29/2021,1,All
406,6/2/2021,2,All
407,6/4/2021,2,All
408,6/5/2021,1,All
409,6/6/2021,4,All
410,6/7/2021,6,All
411,6/8/2021,1,All
412,6/9/2021,2,All
413,6/10/2021,1,All
414,6/13/2021,2,All
415,6/14/2021,3,All
416,6/15/2021,1,All
417,6/16/2021,3,All
418,6/17/2021,1,All
419,6/18/2021,5,All
420,6/19/2021,4,All
421,6/20/2021,2,All
422,6/21/2021,5,All
423,6/22/2021,17,All
424,6/23/2021,12,All
425,6/24/2021,22,All
426,6/25/2021,28,All
427,6/26/2021,25,All
428,6/27/2021,23,All
429,6/28/2021,15,All
430,6/29/2021,27,All
431,6/30/2021,30,All
432,7/1/2021,30,All
433,7/2/2021,36,All
434,7/3/2021,22,All
435,7/4/2021,31,All
436,7/5/2021,16,All
437,7/6/2021,33,All
438,7/7/2021,37,All
439,7/8/2021,45,All
440,7/9/2021,50,All
441,7/10/2021,105,All
442,7/11/2021,121,All
443,7/12/2021,73,All
444,7/13/2021,90,All
445,7/14/2021,75,All
446,7/15/2021,102,All
447,7/16/2021,112,All
448,7/17/2021,98,All
449,7/18/2021,111,All
450,7/19/2021,65,All
451,7/20/2021,107,All
452,7/21/2021,141,All
453,7/22/2021,142,All
454,7/23/2021,148,All
455,7/24/2021,141,All
456,7/25/2021,109,All
0,1/25/2020,1,Burwood
1,3/17/2020,1,Burwood
2,3/23/2020,1,Burwood
3,3/26/2020,1,Burwood
4,3/29/2020,1,Burwood
5,3/30/2020,1,Burwood
6,4/2/2020,1,Burwood
7,4/8/2020,1,Burwood
8,8/27/2020,1,Burwood
9,9/6/2020,1,Burwood
10,9/7/2020,2,Burwood
11,9/10/2020,1,Burwood
12,10/23/2020,1,Burwood
13,12/25/2020,1,Burwood
14,12/28/2020,1,Burwood
15,12/29/2020,3,Burwood
16,4/12/2021,1,Burwood
17,7/1/2021,2,Burwood
18,7/6/2021,2,Burwood
19,7/7/2021,2,Burwood
20,7/11/2021,1,Burwood
21,7/21/2021,4,Burwood
22,7/23/2021,1,Burwood
23,7/25/2021,1,Burwood
0,1/25/2020,1,Parramatta
1,3/6/2020,2,Parramatta
2,3/8/2020,3,Parramatta
3,3/9/2020,3,Parramatta
4,3/12/2020,1,Parramatta
5,3/14/2020,1,Parramatta
6,3/15/2020,3,Parramatta
7,3/16/2020,1,Parramatta
8,3/17/2020,1,Parramatta
9,3/19/2020,1,Parramatta
10,3/20/2020,1,Parramatta
11,3/21/2020,1,Parramatta
12,3/22/2020,2,Parramatta
13,3/23/2020,3,Parramatta
14,3/25/2020,3,Parramatta
15,3/26/2020,1,Parramatta
16,3/27/2020,1,Parramatta
17,3/28/2020,1,Parramatta
18,3/29/2020,2,Parramatta
19,3/31/2020,4,Parramatta
20,4/1/2020,3,Parramatta
21,4/2/2020,1,Parramatta
22,4/3/2020,3,Parramatta
23,4/6/2020,1,Parramatta
24,4/7/2020,1,Parramatta
25,5/6/2020,1,Parramatta
26,5/13/2020,1,Parramatta
27,6/3/2020,1,Parramatta
28,6/27/2020,1,Parramatta
29,6/30/2020,2,Parramatta
30,7/6/2020,1,Parramatta
31,7/13/2020,1,Parramatta
32,7/15/2020,1,Parramatta
33,7/19/2020,1,Parramatta
34,7/20/2020,1,Parramatta
35,7/23/2020,2,Parramatta
36,7/24/2020,1,Parramatta
37,7/25/2020,3,Parramatta
38,7/27/2020,4,Parramatta
39,7/30/2020,4,Parramatta
40,8/1/2020,2,Parramatta
41,8/5/2020,2,Parramatta
42,8/6/2020,1,Parramatta
43,8/9/2020,1,Parramatta
44,8/10/2020,2,Parramatta
45,8/28/2020,1,Parramatta
46,9/9/2020,1,Parramatta
47,9/11/2020,1,Parramatta
48,9/17/2020,1,Parramatta
49,10/7/2020,4,Parramatta
50,10/11/2020,1,Parramatta
51,10/12/2020,1,Parramatta
52,10/13/2020,1,Parramatta
53,10/21/2020,1,Parramatta
54,10/22/2020,1,Parramatta
55,10/23/2020,1,Parramatta
56,10/26/2020,1,Parramatta
57,11/9/2020,1,Parramatta
58,11/13/2020,1,Parramatta
59,11/29/2020,1,Parramatta
60,12/2/2020,1,Parramatta
61,12/6/2020,2,Parramatta
62,12/7/2020,1,Parramatta
63,12/23/2020,1,Parramatta
64,1/3/2021,1,Parramatta
65,2/3/2021,1,Parramatta
66,2/5/2021,1,Parramatta
67,2/24/2021,1,Parramatta
68,3/1/2021,1,Parramatta
69,3/9/2021,2,Parramatta
70,3/21/2021,1,Parramatta
71,3/28/2021,1,Parramatta
72,4/13/2021,1,Parramatta
73,4/18/2021,1,Parramatta
74,4/22/2021,2,Parramatta
75,4/25/2021,1,Parramatta
76,4/28/2021,1,Parramatta
77,4/29/2021,1,Parramatta
78,5/2/2021,2,Parramatta
79,5/5/2021,2,Parramatta
80,5/6/2021,1,Parramatta
81,5/7/2021,1,Parramatta
82,6/7/2021,1,Parramatta
83,6/29/2021,1,Parramatta
84,6/30/2021,2,Parramatta
85,7/1/2021,3,Parramatta
86,7/5/2021,2,Parramatta
87,7/7/2021,1,Parramatta
88,7/8/2021,4,Parramatta
89,7/11/2021,3,Parramatta
90,7/12/2021,1,Parramatta
91,7/15/2021,2,Parramatta
92,7/16/2021,1,Parramatta
93,7/18/2021,1,Parramatta
94,7/19/2021,3,Parramatta
95,7/20/2021,6,Parramatta
96,7/21/2021,3,Parramatta
97,7/22/2021,10,Parramatta
98,7/23/2021,2,Parramatta
99,7/24/2021,3,Parramatta
100,7/25/2021,2,Parramatta
0,1/25/2020,1,Ku-ring-gai
1,3/2/2020,1,Ku-ring-gai
2,3/10/2020,1,Ku-ring-gai
3,3/16/2020,2,Ku-ring-gai
4,3/17/2020,3,Ku-ring-gai
5,3/19/2020,3,Ku-ring-gai
6,3/20/2020,1,Ku-ring-gai
7,3/21/2020,5,Ku-ring-gai
8,3/22/2020,2,Ku-ring-gai
9,3/23/2020,2,Ku-ring-gai
10,3/24/2020,5,Ku-ring-gai
11,3/25/2020,3,Ku-ring-gai
12,3/26/2020,2,Ku-ring-gai
13,3/27/2020,8,Ku-ring-gai
14,3/28/2020,3,Ku-ring-gai
15,3/30/2020,1,Ku-ring-gai
16,3/31/2020,6,Ku-ring-gai
17,4/1/2020,2,Ku-ring-gai
18,4/2/2020,4,Ku-ring-gai
19,4/3/2020,4,Ku-ring-gai
20,4/5/2020,1,Ku-ring-gai
21,4/7/2020,3,Ku-ring-gai
22,4/8/2020,2,Ku-ring-gai
23,4/9/2020,2,Ku-ring-gai
24,4/10/2020,2,Ku-ring-gai
25,5/1/2020,1,Ku-ring-gai
26,5/18/2020,1,Ku-ring-gai
27,5/20/2020,1,Ku-ring-gai
28,6/26/2020,1,Ku-ring-gai
29,7/9/2020,1,Ku-ring-gai
30,8/10/2020,1,Ku-ring-gai
31,8/26/2020,2,Ku-ring-gai
32,8/27/2020,1,Ku-ring-gai
33,8/28/2020,2,Ku-ring-gai
34,8/29/2020,1,Ku-ring-gai
35,8/30/2020,1,Ku-ring-gai
36,9/1/2020,2,Ku-ring-gai
37,9/4/2020,2,Ku-ring-gai
38,9/8/2020,1,Ku-ring-gai
39,10/12/2020,1,Ku-ring-gai
40,10/13/2020,1,Ku-ring-gai
41,12/11/2020,1,Ku-ring-gai
42,12/19/2020,1,Ku-ring-gai
43,12/20/2020,2,Ku-ring-gai
44,1/2/2021,1,Ku-ring-gai
45,1/3/2021,1,Ku-ring-gai
46,3/2/2021,2,Ku-ring-gai
47,4/18/2021,1,Ku-ring-gai
48,4/25/2021,1,Ku-ring-gai
49,4/28/2021,1,Ku-ring-gai
50,5/12/2021,3,Ku-ring-gai
51,6/2/2021,2,Ku-ring-gai
52,6/5/2021,1,Ku-ring-gai
53,6/21/2021,1,Ku-ring-gai
54,7/23/2021,1,Ku-ring-gai
0,1/27/2020,1,Randwick
1,3/14/2020,1,Randwick
2,3/15/2020,1,Randwick
3,3/16/2020,3,Randwick
4,3/17/2020,1,Randwick
5,3/19/2020,4,Randwick
6,3/20/2020,1,Randwick
7,3/21/2020,2,Randwick
8,3/23/2020,5,Randwick
9,3/24/2020,7,Randwick
10,3/25/2020,5,Randwick
11,3/26/2020,5,Randwick
12,3/27/2020,6,Randwick
13,3/28/2020,1,Randwick
14,3/29/2020,1,Randwick
15,3/31/2020,3,Randwick
16,4/1/2020,5,Randwick
17,4/2/2020,3,Randwick
18,4/3/2020,6,Randwick
19,4/4/2020,4,Randwick
20,4/5/2020,2,Randwick
21,4/6/2020,2,Randwick
22,4/7/2020,3,Randwick
23,4/8/2020,1,Randwick
24,4/9/2020,3,Randwick
25,4/10/2020,3,Randwick
26,4/11/2020,1,Randwick
27,4/13/2020,1,Randwick
28,4/15/2020,1,Randwick
29,4/18/2020,1,Randwick
30,4/30/2020,1,Randwick
31,5/5/2020,1,Randwick
32,6/18/2020,1,Randwick
33,7/27/2020,1,Randwick
34,7/28/2020,1,Randwick
35,8/25/2020,1,Randwick
36,8/26/2020,1,Randwick
37,8/27/2020,1,Randwick
38,8/28/2020,1,Randwick
39,9/1/2020,1,Randwick
40,9/2/2020,1,Randwick
41,9/3/2020,1,Randwick
42,9/7/2020,1,Randwick
43,9/10/2020,1,Randwick
44,9/13/2020,1,Randwick
45,9/22/2020,1,Randwick
46,10/4/2020,1,Randwick
47,10/5/2020,3,Randwick
48,10/7/2020,1,Randwick
49,10/10/2020,1,Randwick
50,10/15/2020,1,Randwick
51,10/17/2020,1,Randwick
52,10/27/2020,1,Randwick
53,11/28/2020,1,Randwick
54,11/30/2020,1,Randwick
55,12/2/2020,1,Randwick
56,12/8/2020,1,Randwick
57,12/16/2020,2,Randwick
58,12/22/2020,1,Randwick
59,1/27/2021,1,Randwick
60,2/22/2021,1,Randwick
61,3/17/2021,1,Randwick
62,4/10/2021,1,Randwick
63,6/19/2021,1,Randwick
64,6/23/2021,1,Randwick
65,6/24/2021,3,Randwick
66,6/25/2021,6,Randwick
67,6/26/2021,1,Randwick
68,6/27/2021,3,Randwick
69,6/28/2021,2,Randwick
70,6/29/2021,5,Randwick
71,6/30/2021,4,Randwick
72,7/1/2021,1,Randwick
73,7/2/2021,5,Randwick
74,7/4/2021,7,Randwick
75,7/5/2021,2,Randwick
76,7/6/2021,4,Randwick
77,7/7/2021,2,Randwick
78,7/8/2021,3,Randwick
79,7/9/2021,2,Randwick
80,7/10/2021,3,Randwick
81,7/13/2021,1,Randwick
82,7/15/2021,5,Randwick
83,7/16/2021,1,Randwick
84,7/17/2021,2,Randwick
85,7/18/2021,1,Randwick
86,7/20/2021,3,Randwick
87,7/22/2021,1,Randwick
88,7/25/2021,1,Randwick
0,3/1/2020,1,Hornsby
1,3/2/2020,1,Hornsby
2,3/5/2020,1,Hornsby
3,3/6/2020,2,Hornsby
4,3/8/2020,1,Hornsby
5,3/11/2020,3,Hornsby
6,3/12/2020,1,Hornsby
7,3/15/2020,1,Hornsby
8,3/16/2020,1,Hornsby
9,3/18/2020,1,Hornsby
10,3/19/2020,1,Hornsby
11,3/20/2020,3,Hornsby
12,3/21/2020,2,Hornsby
13,3/23/2020,3,Hornsby
14,3/24/2020,7,Hornsby
15,3/25/2020,3,Hornsby
16,3/26/2020,2,Hornsby
17,3/27/2020,7,Hornsby
18,3/28/2020,1,Hornsby
19,3/30/2020,1,Hornsby
20,3/31/2020,1,Hornsby
21,4/3/2020,1,Hornsby
22,4/5/2020,1,Hornsby
23,4/7/2020,1,Hornsby
24,4/8/2020,2,Hornsby
25,4/14/2020,1,Hornsby
26,4/18/2020,1,Hornsby
27,4/19/2020,1,Hornsby
28,4/21/2020,2,Hornsby
29,4/24/2020,2,Hornsby
30,4/27/2020,1,Hornsby
31,4/30/2020,1,Hornsby
32,6/30/2020,1,Hornsby
33,8/8/2020,3,Hornsby
34,8/10/2020,2,Hornsby
35,8/13/2020,1,Hornsby
36,8/20/2020,1,Hornsby
37,8/30/2020,1,Hornsby
38,8/31/2020,1,Hornsby
39,9/8/2020,1,Hornsby
40,11/4/2020,1,Hornsby
41,11/6/2020,1,Hornsby
42,11/14/2020,1,Hornsby
43,11/24/2020,1,Hornsby
44,12/3/2020,1,Hornsby
45,12/19/2020,2,Hornsby
46,12/20/2020,1,Hornsby
47,1/1/2021,1,Hornsby
48,1/19/2021,1,Hornsby
49,1/23/2021,1,Hornsby
50,2/25/2021,1,Hornsby
51,3/10/2021,1,Hornsby
52,7/4/2021,3,Hornsby
53,7/17/2021,1,Hornsby
0,3/1/2020,1,Fairfield
1,3/7/2020,1,Fairfield
2,3/15/2020,1,Fairfield
3,3/24/2020,2,Fairfield
4,3/25/2020,1,Fairfield
5,3/26/2020,3,Fairfield
6,3/28/2020,1,Fairfield
7,3/30/2020,1,Fairfield
8,3/31/2020,1,Fairfield
9,4/1/2020,2,Fairfield
10,4/2/2020,1,Fairfield
11,4/3/2020,3,Fairfield
12,4/4/2020,1,Fairfield
13,4/5/2020,3,Fairfield
14,4/7/2020,1,Fairfield
15,4/8/2020,1,Fairfield
16,4/9/2020,2,Fairfield
17,4/10/2020,2,Fairfield
18,4/14/2020,1,Fairfield
19,4/22/2020,1,Fairfield
20,4/23/2020,1,Fairfield
21,5/4/2020,1,Fairfield
22,5/5/2020,1,Fairfield
23,5/7/2020,1,Fairfield
24,5/25/2020,1,Fairfield
25,6/3/2020,1,Fairfield
26,6/7/2020,2,Fairfield
27,6/12/2020,1,Fairfield
28,6/14/2020,1,Fairfield
29,7/4/2020,1,Fairfield
30,7/12/2020,1,Fairfield
31,7/13/2020,1,Fairfield
32,7/16/2020,1,Fairfield
33,7/18/2020,3,Fairfield
34,7/19/2020,3,Fairfield
35,7/20/2020,3,Fairfield
36,7/21/2020,5,Fairfield
37,7/22/2020,2,Fairfield
38,7/23/2020,2,Fairfield
39,7/24/2020,5,Fairfield
40,7/25/2020,1,Fairfield
41,7/27/2020,1,Fairfield
42,7/28/2020,3,Fairfield
43,7/29/2020,3,Fairfield
44,7/31/2020,6,Fairfield
45,8/1/2020,1,Fairfield
46,8/2/2020,1,Fairfield
47,8/3/2020,3,Fairfield
48,8/4/2020,4,Fairfield
49,8/5/2020,3,Fairfield
50,8/6/2020,2,Fairfield
51,8/7/2020,5,Fairfield
52,8/8/2020,4,Fairfield
53,8/10/2020,3,Fairfield
54,8/11/2020,4,Fairfield
55,8/12/2020,2,Fairfield
56,8/13/2020,4,Fairfield
57,8/14/2020,3,Fairfield
58,8/15/2020,1,Fairfield
59,8/18/2020,3,Fairfield
60,8/20/2020,2,Fairfield
61,8/21/2020,1,Fairfield
62,8/24/2020,1,Fairfield
63,8/26/2020,2,Fairfield
64,8/27/2020,3,Fairfield
65,8/30/2020,1,Fairfield
66,9/16/2020,1,Fairfield
67,9/28/2020,1,Fairfield
68,10/26/2020,1,Fairfield
69,10/30/2020,1,Fairfield
70,11/2/2020,1,Fairfield
71,11/3/2020,2,Fairfield
72,12/13/2020,1,Fairfield
73,12/22/2020,1,Fairfield
74,2/5/2021,1,Fairfield
75,3/19/2021,2,Fairfield
76,5/3/2021,1,Fairfield
77,6/6/2021,1,Fairfield
78,6/26/2021,2,Fairfield
79,6/27/2021,1,Fairfield
80,6/30/2021,1,Fairfield
81,7/1/2021,3,Fairfield
82,7/2/2021,4,Fairfield
83,7/3/2021,3,Fairfield
84,7/4/2021,1,Fairfield
85,7/5/2021,2,Fairfield
86,7/6/2021,11,Fairfield
87,7/7/2021,10,Fairfield
88,7/8/2021,9,Fairfield
89,7/9/2021,19,Fairfield
90,7/10/2021,59,Fairfield
91,7/11/2021,74,Fairfield
92,7/12/2021,38,Fairfield
93,7/13/2021,48,Fairfield
94,7/14/2021,41,Fairfield
95,7/15/2021,56,Fairfield
96,7/16/2021,60,Fairfield
97,7/17/2021,64,Fairfield
98,7/18/2021,50,Fairfield
99,7/19/2021,27,Fairfield
100,7/20/2021,33,Fairfield
101,7/21/2021,41,Fairfield
102,7/22/2021,29,Fairfield
103,7/23/2021,36,Fairfield
104,7/24/2021,33,Fairfield
105,7/25/2021,12,Fairfield
0,3/2/2020,1,Bayside
1,3/11/2020,3,Bayside
2,3/13/2020,1,Bayside
3,3/16/2020,1,Bayside
4,3/17/2020,2,Bayside
5,3/20/2020,1,Bayside
6,3/22/2020,2,Bayside
7,3/23/2020,2,Bayside
8,3/24/2020,2,Bayside
9,3/25/2020,3,Bayside
10,3/27/2020,3,Bayside
11,3/28/2020,3,Bayside
12,3/29/2020,7,Bayside
13,3/30/2020,3,Bayside
14,3/31/2020,5,Bayside
15,4/1/2020,1,Bayside
16,4/2/2020,1,Bayside
17,4/3/2020,2,Bayside
18,4/4/2020,5,Bayside
19,4/5/2020,3,Bayside
20,4/6/2020,6,Bayside
21,4/7/2020,2,Bayside
22,4/8/2020,2,Bayside
23,4/10/2020,1,Bayside
24,4/11/2020,1,Bayside
25,4/12/2020,1,Bayside
26,4/13/2020,1,Bayside
27,4/16/2020,1,Bayside
28,7/10/2020,1,Bayside
29,7/12/2020,1,Bayside
30,7/16/2020,1,Bayside
31,7/19/2020,1,Bayside
32,7/30/2020,1,Bayside
33,8/27/2020,1,Bayside
34,9/2/2020,1,Bayside
35,9/22/2020,3,Bayside
36,10/14/2020,1,Bayside
37,10/20/2020,1,Bayside
38,10/30/2020,1,Bayside
